SOURCE_RID,ENTITY_ID,SOURCE_NAME,GEO_ADDRESS_1,GEO_CITY_NAME,inventory_id,source_type,county_name,utm_x.y,utm_y.y,distance_new_good,utm_x,utm_y,Correct_lat,correct_long
102128433,27037DC569,Anderson Cleaners,912 Payne Ave.,St. Paul,101123730,SOURCE,NA,494229.0662,4979484.38,0,494229.0662,4979484.38,,
102128434,27015DC213,B & J Laundromat LLC,2001 S Bridge St,New Ulm ,NA,NA,NA,NA,NA,NA,385177.3182,4905553.371,44.29321,-94.43771
102128435,27053DC969,Blake Cleaners Inc,8420 Excelsior Blvd,Hopkins,NA,NA,NA,NA,NA,NA,466172.8118,4974251.453,44.92768,-93.38672
102128436,27009DC731,Bohlig Cleaners,1700 W. Germain St.,St. Cloud,101123730,SOURCE,NA,408303.5228,5045164.089,0,408303.5228,5045164.089,,
102128437,27123DC138,Brighton Cleaners Inc,"833 S.W. 3rd St., #5",New Brighton,101123730,SOURCE,NA,484374.0421,4988026.774,0,484374.0421,4988026.774,,
102128438,27059DC763,Cambridge Launderers and Cleaners Inc,326 1st Ave. W.,Cambridge,101123730,SOURCE,NA,482265.585,5046579.419,0,482265.585,5046579.419,,
102128439,27053DC965,Care Cleaners Inc.,6538 Lake St. W.,St. Louis Park,101123730,SOURCE,NA,471507.1174,4976483.186,0,471507.1174,4976483.186,,
102128440,27083DC310,Carrows Cleaners,202 W. College Dr.,Marshall,101123730,SOURCE,NA,277909.0851,4925135.91,0,277909.0851,4925135.91,,
102128441,27035DC643,Crystal Cleaners Inc,421 W. Washington St.,Brainerd,101123730,SOURCE,NA,406442.8308,5134489.7,0,406442.8308,5134489.7,,
102128442,27137DC165,Dee Independent Cleaners Inc,1029 E. Superior St.,Duluth,101123730,SOURCE,NA,569820.3184,5182977.983,0,569820.3184,5182977.983,,
102128443,27037DC853,E & J Cleaners Inc,642 Selby Ave.,St. Paul,101123730,SOURCE,NA,489955.6022,4976989.802,0,489955.6022,4976989.802,,
102128444,27163DC0X1,Forest Lake Dry Cleaners,855 W Broadway Ave,Forest Lake,NA,NA,NA,NA,NA,NA,500411.7802,5013987.03,45.28082,-92.9949
102128445,27093DC140,Litchfield Dry Cleaners,240 North Sibley Ave.,Litchfield,101123730,SOURCE,NA,379834.3244,4998295.102,0,379834.3244,4998295.102,,
102128446,27037DC282,Midtown Cleaners,1672 N. Hamline Ave.,St. Paul,101123730,SOURCE,NA,487661.0267,4982012.661,0,487661.0267,4982012.661,,
102128447,27083DC530,Midwest Cleaners Inc.,429 W. Main St.,Marshall,101123730,SOURCE,NA,277893.5162,4925543.2,0,277893.5162,4925543.2,,
102128448,27037DC102,Minnehaha Cleaning Center,745 Milton Street North,St Paul,101123730,SOURCE,NA,489020.4423,4979001.879,0,489020.4423,4979001.879,,
102128449,27137DC955,Murrers Dry Cleaners,2306 1st Ave,Hibbing,101123730,SOURCE,NA,504404.3254,5252251.158,0,504404.3254,5252251.158,,
102128450,27037DC922,Premier Cleaners,3450 Denmark Ave.,Eagan,101123730,SOURCE,NA,487448.9021,4964152.524,0,487448.9021,4964152.524,,
102128451,27163DC0X2,Shorty Cleaners & Launderer Inc,121 Chestnut St. E.,Stillwater,NA,NA,NA,NA,NA,NA,515077.9561,4989102.239,45.05547,-92.80726
102128452,27061DC587,Vanity Cleaners Inc.,29 NE 4th St.,Grand Rapids,101123730,SOURCE,NA,460042.3371,5231521.621,0,460042.3371,5231521.621,,
102128453,27053DC099,Wayzata Home Inc,820 E. Wayzata Blvd.,Wayzata,101123730,SOURCE,NA,457252.7401,4980661.968,0,457252.7401,4980661.968,,
102128454,27053DC729,Wayzata Pennhurst Cleaners,1042 Wayzata Blvd,Wayzata,101123730,SOURCE,NA,457458.9764,4980625.871,0,457458.9764,4980625.871,,
102128455,27003DC114,Osman Cleaners Inc,2500 HENNEPIN AVE S,Wayzata,101123730,SOURCE,NA,476687.2991,4978254.786,0,476687.2991,4978254.786,,
