MATERIAL_CODE,SHORT_DESC.x,EMISSION_AMT,Count
ACETONE,Fugitive Landfill Gas,1339.55,121
ACRYLONITRIL,Flare Emissions,51173.3122213,19
ACRYLONITRIL,Fugitive Landfill Gas,5036.67,121
BENZ(A)ANTHR,Flare Emissions,1.30379e-4,19
BENZENE,Flare Emissions,14.789615217,19
BENZENE,Fugitive Landfill Gas,1336.48,121
BENZO(A)PYRE,Flare Emissions,2.37505e-4,19
CARBON DISUL,Fugitive Landfill Gas,662.18,121
CARBON TETRA,Flare Emissions,1.512290232,19
CARBON TETRA,Fugitive Landfill Gas,9.24,121
CARBONYL SUL,Fugitive Landfill Gas,441.39,121
CFC-11,Fugitive Landfill Gas,1565.69,121
CHLOROBENZ,Flare Emissions,5.728372088,19
CHLOROBENZ,Fugitive Landfill Gas,1125.82,121
CHLOROETHANE,Fugitive Landfill Gas,1488.08,121
CHLOROFORM,Flare Emissions,5.353424099,19
CHLOROFORM,Fugitive Landfill Gas,689.3,121
CHRYSENE,Flare Emissions,0.061866417,19
CO,Flare Emissions,65467.1096127,19
"DIBROMOET,12",Fugitive Landfill Gas,2.77,121
DICHLORETH12,Fugitive Landfill Gas,418.4,121
"DICLBENZEN,M",Fugitive Landfill Gas,1977.43,121
"DICLBENZEN,O",Fugitive Landfill Gas,707.66,121
"DICLETH,11-",Fugitive Landfill Gas,1464.91,121
ETHYLBENZENE,Fugitive Landfill Gas,15306.74,121
FLUORANTHENE,Flare Emissions,1.512290232,19
HCL,Flare Emissions,7797.03723181,19
HEXANE,Fugitive Landfill Gas,8490.69,121
HPCDD1234678,Flare Emissions,1.68156e-5,19
HPCDF1234678,Flare Emissions,1.87757e-5,19
"HXCDF,123478",Flare Emissions,3.79099e-4,19
"HXCDF,123678",Flare Emissions,1.09981e-4,19
"HXCDF,234678",Flare Emissions,1.32808e-5,19
MERCURY,Flare Emissions,0.670392429,19
METH ETH KET,Flare Emissions,363.676638118,19
METH ETH KET,Fugitive Landfill Gas,3465.25,121
METH ISOBUT,Fugitive Landfill Gas,2808.73,121
METHANE,Flare Emissions,117727.5597258,19
METHYL CHLOR,Fugitive Landfill Gas,916.12,121
METHYLENE CL,Flare Emissions,446.604718664,19
METHYLENE CL,Fugitive Landfill Gas,10451.11,121
NAPHTHALENE,Flare Emissions,20.83044397,19
NOX,Flare Emissions,64385.0086241,19
"OCDD,TOT",Flare Emissions,3.206e-5,19
"OCDF,TOT",Flare Emissions,3.2082e-5,19
PCBS,Flare Emissions,0.017955918,19
"PECDF,23478",Flare Emissions,2.95795e-4,19
PERC,Flare Emissions,7.2385792780000004,19
PERC,Fugitive Landfill Gas,6376.0599999999995,121
PM-CON,Flare Emissions,1201.558464982,19
PM10-FIL,Flare Emissions,18023.37697433,19
PM25-FIL,Flare Emissions,18023.37697433,19
PRPLENE DICH,Fugitive Landfill Gas,304.96,121
SO2,Flare Emissions,41660.8879351,19
SO2,Fugitive Landfill Gas,22548.02,121
"TCDF,2378",Flare Emissions,2.1948e-6,19
"TCE,111",Flare Emissions,21.205391961,19
"TCE,111",Fugitive Landfill Gas,948.3100000000001,121
"TETCLET,1122",Fugitive Landfill Gas,1613.45,121
TOLUENE,Flare Emissions,255.381242983,19
TOLUENE,Fugitive Landfill Gas,37195.99,121
TRICHLORETHY,Flare Emissions,12915.5070561,19
TRICHLORETHY,Fugitive Landfill Gas,6315.3099999999995,121
VINLIDENE CL,Fugitive Landfill Gas,1732.83,121
VINYL CHLOR,Flare Emissions,3795.12760055,19
VINYL CHLOR,Fugitive Landfill Gas,3123.81,121
VOC,Flare Emissions,11526.72788605,19
VOC,Fugitive Landfill Gas,161623.03,121
"XYLENE,M",Flare Emissions,4407.13660797,19
"XYLENE,O",Flare Emissions,6175.23962937,19
XYLENES ISO,Flare Emissions,46.451890045,19
XYLENES ISO,Fugitive Landfill Gas,44901.33,121
